item_id,pedido_id,produto,categoria,quantidade,preco_unitario
134,46,Livro,Books,4,20.65
135,46,Monitor,Eletronicos,3,348.73
136,46,Camiseta,Moda,1,38.41
137,46,Calca,Moda,4,50.91
138,47,Jaqueta,Moda,2,127.39
139,47,Teclado,Eletronicos,3,114.9
140,47,Livro,Books,1,32.36
141,48,Camiseta,Moda,4,32.38
142,48,Mouse,Eletronicos,3,26.42
143,48,Sofa,Casa,2,496.25
144,49,Sofa,Casa,1,618.5
145,49,Mesa,Casa,2,314.09
146,50,Notebook,Eletronicos,2,1565.75
147,51,Livro,Books,1,18.25
148,51,Notebook,Eletronicos,2,1237.92
149,51,Livro,Books,4,17.95
150,51,Teclado,Eletronicos,4,56.75
151,52,Livro,Books,2,44.91
152,53,Caderno,Papelaria,2,16.84
153,53,Notebook,Eletronicos,3,2807.05
154,53,Calca,Moda,2,99.98
155,54,Jaqueta,Moda,4,175.49
156,55,Caderno,Papelaria,3,15.85
157,56,Camiseta,Moda,3,56.97
158,56,Calca,Moda,4,90.09
159,57,Camiseta,Moda,4,56.11
160,57,Caderno,Papelaria,2,14.0
161,57,Teclado,Eletronicos,1,113.84
162,57,Mesa,Casa,2,514.41
163,58,Mesa,Casa,3,256.4
164,58,Monitor,Eletronicos,1,340.38
165,58,Livro,Books,2,26.16
166,58,Jaqueta,Moda,2,134.32
167,59,Caderno,Papelaria,1,9.58
168,60,Teclado,Eletronicos,4,77.71
169,61,Sofa,Casa,3,970.19
170,61,Teclado,Eletronicos,4,136.19
171,62,Mesa,Casa,4,284.89
172,62,Mouse,Eletronicos,4,28.65
173,62,Livro,Books,4,19.51
174,63,Teclado,Eletronicos,1,109.46
175,63,Mesa,Casa,4,440.9
176,64,Teclado,Eletronicos,2,134.04
177,64,Camiseta,Moda,1,52.0
178,65,Luminaria,Casa,2,93.77
179,65,Notebook,Eletronicos,2,2464.25
180,66,Livro,Books,4,24.33
181,67,Calca,Moda,3,47.58
182,67,Livro,Books,4,21.34
183,67,Camiseta,Moda,4,34.38
184,68,Jaqueta,Moda,3,155.07
185,69,Livro,Books,3,30.02
186,69,Caderno,Papelaria,3,9.48
187,69,Luminaria,Casa,2,80.29
188,70,Mouse,Eletronicos,2,54.32
189,71,Mesa,Casa,3,459.54
190,71,Jaqueta,Moda,2,186.63
191,72,Teclado,Eletronicos,1,71.04
192,72,Teclado,Eletronicos,1,60.67
193,73,Camiseta,Moda,2,40.82
194,73,Monitor,Eletronicos,1,507.91
195,73,Jaqueta,Moda,1,174.51
196,73,Mouse,Eletronicos,2,39.56
197,73,Luminaria,Casa,2,87.55
198,74,Mesa,Casa,4,371.39
199,74,Monitor,Eletronicos,4,738.38
200,74,Camiseta,Moda,1,52.59
201,74,Calca,Moda,4,92.72
202,75,Camiseta,Moda,4,47.54
203,75,Mouse,Eletronicos,2,54.36
204,76,Calca,Moda,3,90.7
205,76,Jaqueta,Moda,1,205.36
206,76,Sofa,Casa,2,1066.49
207,77,Luminaria,Casa,1,42.41
208,77,Livro,Books,2,10.62
209,77,Mesa,Casa,3,177.52
210,78,Mouse,Eletronicos,1,26.57
211,78,Mouse,Eletronicos,2,27.11
212,79,Mouse,Eletronicos,2,24.95
213,79,Mesa,Casa,1,231.82
214,79,Sofa,Casa,4,452.66
215,80,Mesa,Casa,3,354.27
216,80,Sofa,Casa,2,671.33
217,80,Luminaria,Casa,1,86.75
218,80,Mouse,Eletronicos,1,33.82
219,81,Notebook,Eletronicos,3,1387.0
220,81,Livro,Books,3,24.39
221,81,Luminaria,Casa,1,50.73
222,82,Livro,Books,4,23.17
223,82,Sofa,Casa,2,554.66
224,83,Luminaria,Casa,1,106.61
225,83,Sofa,Casa,2,764.96
226,83,Livro,Books,3,31.64
227,83,Teclado,Eletronicos,2,114.93
228,83,Camiseta,Moda,1,45.54
229,84,Mesa,Casa,3,296.24
230,84,Teclado,Eletronicos,4,80.46
231,84,Luminaria,Casa,2,73.28
232,84,Monitor,Eletronicos,2,495.52
233,84,Mesa,Casa,1,286.03
234,85,Luminaria,Casa,4,79.7
235,85,Luminaria,Casa,1,64.03
236,85,Luminaria,Casa,3,57.91
237,85,Calca,Moda,1,56.68
238,86,Monitor,Eletronicos,2,627.05
239,86,Notebook,Eletronicos,3,2072.37
240,86,Livro,Books,4,38.94
241,86,Caderno,Papelaria,1,11.59
242,86,Luminaria,Casa,1,82.73
243,87,Camiseta,Moda,1,43.64
244,87,Mouse,Eletronicos,3,68.95
245,87,Teclado,Eletronicos,2,131.44
246,87,Mouse,Eletronicos,1,58.46
247,88,Luminaria,Casa,3,98.6
248,88,Sofa,Casa,2,792.27
249,88,Teclado,Eletronicos,4,87.95
250,88,Camiseta,Moda,3,45.31
251,88,Calca,Moda,1,75.34
252,89,Mesa,Casa,1,318.87
253,89,Mouse,Eletronicos,4,41.04
254,89,Livro,Books,4,24.44
255,89,Monitor,Eletronicos,2,360.17
256,90,Livro,Books,3,16.44
257,90,Luminaria,Casa,4,35.92
258,90,Monitor,Eletronicos,4,278.9
259,90,Caderno,Papelaria,2,4.73
260,91,Camiseta,Moda,4,32.52
261,91,Jaqueta,Moda,2,141.15
262,91,Notebook,Eletronicos,1,1974.6
263,91,Luminaria,Casa,1,74.73
264,92,Sofa,Casa,2,481.4
265,93,Luminaria,Casa,4,134.15
266,93,Luminaria,Casa,4,103.18
267,93,Luminaria,Casa,1,130.06
268,94,Mesa,Casa,1,271.62
269,94,Caderno,Papelaria,2,7.44
270,94,Mesa,Casa,2,264.29
271,94,Monitor,Eletronicos,3,489.75
272,95,Monitor,Eletronicos,4,582.53
273,95,Camiseta,Moda,1,46.83
274,95,Livro,Books,1,35.78
275,95,Monitor,Eletronicos,2,549.58
276,96,Caderno,Papelaria,3,13.62
277,96,Caderno,Papelaria,1,10.89
278,96,Caderno,Papelaria,2,12.31
279,96,Teclado,Eletronicos,1,99.82
280,97,Teclado,Eletronicos,1,35.43
281,97,Notebook,Eletronicos,3,765.45
282,97,Mouse,Eletronicos,4,21.52
283,98,Calca,Moda,1,76.92
284,98,Mesa,Casa,3,487.98
285,99,Livro,Books,3,26.3
286,99,Sofa,Casa,1,562.03
287,99,Teclado,Eletronicos,1,54.3
288,100,Caderno,Papelaria,4,11.99
289,100,Sofa,Casa,3,768.77
290,100,Sofa,Casa,1,653.84
291,100,Luminaria,Casa,1,97.53
292,101,Notebook,Eletronicos,1,2639.82
293,101,Luminaria,Casa,3,126.79
294,101,Monitor,Eletronicos,2,646.39
295,101,Jaqueta,Moda,2,170.82
296,101,Luminaria,Casa,1,134.89
297,102,Monitor,Eletronicos,4,197.07
298,102,Luminaria,Casa,3,43.54
299,102,Monitor,Eletronicos,1,205.82
300,102,Notebook,Eletronicos,1,953.26
301,102,Mouse,Eletronicos,1,23.39
302,103,Caderno,Papelaria,2,7.09
303,103,Luminaria,Casa,4,47.48
304,103,Jaqueta,Moda,2,89.05
305,103,Jaqueta,Moda,4,102.21
306,103,Camiseta,Moda,3,26.48
307,104,Teclado,Eletronicos,3,91.52
308,104,Caderno,Papelaria,4,16.25
309,104,Camiseta,Moda,4,49.36
310,104,Camiseta,Moda,3,45.8
311,104,Camiseta,Moda,2,44.28
312,105,Mouse,Eletronicos,4,19.23
313,105,Mouse,Eletronicos,4,23.4
314,105,Monitor,Eletronicos,1,199.64
315,105,Sofa,Casa,2,267.24
316,106,Caderno,Papelaria,3,7.35
317,106,Jaqueta,Moda,1,69.88
318,106,Sofa,Casa,2,498.18
319,107,Mesa,Casa,2,588.65
320,107,Calca,Moda,2,97.81
321,107,Notebook,Eletronicos,3,2912.7
322,107,Mouse,Eletronicos,1,61.96
323,107,Calca,Moda,3,103.05
324,108,Mesa,Casa,1,373.55
325,108,Livro,Books,1,27.95
326,108,Notebook,Eletronicos,4,2435.49
327,109,Sofa,Casa,3,707.71
328,109,Teclado,Eletronicos,4,108.29
329,109,Calca,Moda,4,91.96
330,109,Jaqueta,Moda,2,182.19
331,110,Camiseta,Moda,2,23.12
332,110,Sofa,Casa,4,290.4
333,110,Luminaria,Casa,3,34.82
334,110,Mouse,Eletronicos,1,18.69
335,111,Livro,Books,2,14.36
336,111,Mouse,Eletronicos,4,23.12
337,111,Teclado,Eletronicos,1,49.95
338,111,Notebook,Eletronicos,3,821.05
339,111,Mouse,Eletronicos,1,22.51
340,112,Caderno,Papelaria,3,16.15
341,112,Mouse,Eletronicos,3,60.63
342,112,Notebook,Eletronicos,3,2930.99
343,112,Teclado,Eletronicos,3,110.25
344,112,Caderno,Papelaria,1,13.53
345,113,Camiseta,Moda,2,63.02
346,113,Sofa,Casa,4,839.8
347,113,Caderno,Papelaria,3,18.76
348,113,Notebook,Eletronicos,2,2591.44
349,114,Mesa,Casa,1,586.31
350,114,Luminaria,Casa,3,134.85
351,114,Luminaria,Casa,1,151.29
352,114,Teclado,Eletronicos,3,115.97
353,114,Teclado,Eletronicos,3,102.9
354,115,Monitor,Eletronicos,3,579.23
355,115,Caderno,Papelaria,1,10.82
356,115,Teclado,Eletronicos,4,88.69
357,115,Calca,Moda,1,74.09
358,115,Livro,Books,2,32.92
359,116,Mesa,Casa,1,334.94
360,116,Jaqueta,Moda,1,124.93
361,116,Monitor,Eletronicos,2,592.39
362,116,Luminaria,Casa,4,112.32
363,117,Caderno,Papelaria,1,6.92
364,117,Teclado,Eletronicos,1,62.85
365,118,Notebook,Eletronicos,2,1537.53
366,118,Caderno,Papelaria,2,9.01
367,119,Caderno,Papelaria,2,12.21
368,119,Teclado,Eletronicos,1,84.0
369,120,Livro,Books,1,41.49
370,120,Caderno,Papelaria,2,15.5
371,120,Caderno,Papelaria,1,15.94
372,121,Sofa,Casa,1,953.91
373,121,Monitor,Eletronicos,3,580.84
374,121,Mouse,Eletronicos,1,63.94
375,121,Calca,Moda,3,65.18
376,121,Sofa,Casa,4,769.24
377,122,Camiseta,Moda,1,28.99
378,123,Livro,Books,3,35.01
379,123,Notebook,Eletronicos,3,1713.08
380,123,Mesa,Casa,2,319.97
381,123,Notebook,Eletronicos,3,2092.16
382,123,Livro,Books,4,25.65
383,124,Mouse,Eletronicos,1,66.01
384,124,Monitor,Eletronicos,4,740.35
385,124,Caderno,Papelaria,3,11.39
386,125,Caderno,Papelaria,1,19.61
387,125,Sofa,Casa,2,943.98
388,125,Calca,Moda,1,90.7
389,126,Jaqueta,Moda,4,90.54
390,126,Jaqueta,Moda,4,128.92
391,127,Notebook,Eletronicos,3,2931.71
392,127,Monitor,Eletronicos,4,542.49
393,128,Camiseta,Moda,3,59.38
394,128,Sofa,Casa,3,906.23
395,129,Sofa,Casa,2,289.29
396,129,Notebook,Eletronicos,4,797.74
397,129,Teclado,Eletronicos,3,46.51
398,130,Caderno,Papelaria,2,11.1
399,130,Teclado,Eletronicos,1,81.87
400,131,Mesa,Casa,2,352.82
401,132,Mouse,Eletronicos,3,73.46
402,132,Notebook,Eletronicos,4,2326.22
403,132,Mouse,Eletronicos,1,64.15
404,132,Sofa,Casa,2,1115.26
405,132,Monitor,Eletronicos,3,632.08
406,133,Luminaria,Casa,4,104.23
407,133,Notebook,Eletronicos,1,2498.71
408,133,Calca,Moda,2,97.62
409,133,Monitor,Eletronicos,3,600.17
410,134,Mouse,Eletronicos,3,82.25
411,134,Teclado,Eletronicos,3,144.37
412,134,Calca,Moda,3,115.21
413,135,Luminaria,Casa,3,92.18
414,135,Livro,Books,1,37.07
415,136,Sofa,Casa,3,503.43
416,136,Sofa,Casa,3,563.79
417,136,Camiseta,Moda,2,35.66
418,137,Jaqueta,Moda,4,94.54
419,137,Teclado,Eletronicos,4,66.55
420,137,Mesa,Casa,2,326.91
421,138,Caderno,Papelaria,3,11.96
422,138,Monitor,Eletronicos,2,539.81
423,138,Mesa,Casa,4,305.51
424,139,Sofa,Casa,3,786.3
425,139,Notebook,Eletronicos,4,2901.94
426,139,Jaqueta,Moda,4,192.57
427,139,Livro,Books,4,32.97
428,139,Luminaria,Casa,2,106.96
429,140,Notebook,Eletronicos,2,2563.06
430,140,Jaqueta,Moda,2,194.47
431,141,Mesa,Casa,2,382.08
432,141,Mouse,Eletronicos,4,54.64
433,141,Jaqueta,Moda,3,131.79
434,141,Notebook,Eletronicos,4,1963.5
435,141,Notebook,Eletronicos,3,1948.09
436,142,Teclado,Eletronicos,2,91.7
437,142,Jaqueta,Moda,1,152.09
438,142,Mouse,Eletronicos,4,47.94
439,142,Sofa,Casa,3,896.08
440,143,Jaqueta,Moda,4,92.56
441,143,Jaqueta,Moda,2,81.06
442,143,Sofa,Casa,1,431.01
443,143,Luminaria,Casa,2,57.54
444,143,Sofa,Casa,2,447.11
445,144,Camiseta,Moda,2,27.23
446,145,Mouse,Eletronicos,2,22.06
447,145,Caderno,Papelaria,3,6.65
448,145,Notebook,Eletronicos,2,970.13
449,145,Teclado,Eletronicos,2,34.94
450,146,Notebook,Eletronicos,4,2229.36
451,146,Calca,Moda,4,89.96
452,146,Livro,Books,4,33.15
453,147,Livro,Books,4,20.0
454,148,Mesa,Casa,3,275.22
455,148,Monitor,Eletronicos,4,321.94
456,148,Caderno,Papelaria,2,10.01
457,148,Notebook,Eletronicos,2,1252.99
458,148,Notebook,Eletronicos,1,1797.21
459,149,Mouse,Eletronicos,1,32.3
460,150,Camiseta,Moda,3,42.79
461,150,Camiseta,Moda,4,43.84
462,150,Notebook,Eletronicos,1,1801.56
463,150,Mesa,Casa,3,417.41
464,151,Luminaria,Casa,2,61.18
465,151,Notebook,Eletronicos,1,1994.58
466,151,Monitor,Eletronicos,4,428.77
467,151,Luminaria,Casa,3,83.9
468,151,Calca,Moda,4,46.77
469,152,Luminaria,Casa,4,129.87
470,153,Monitor,Eletronicos,4,482.15
471,153,Notebook,Eletronicos,4,1587.78
472,153,Mouse,Eletronicos,2,45.82
473,153,Teclado,Eletronicos,1,71.81
474,153,Livro,Books,1,22.62
475,154,Caderno,Papelaria,1,14.94
476,155,Mouse,Eletronicos,3,62.7
477,155,Caderno,Papelaria,3,15.91
478,156,Mesa,Casa,1,215.16
479,156,Caderno,Papelaria,2,7.61
480,156,Mouse,Eletronicos,1,29.56
481,156,Camiseta,Moda,2,26.13
482,157,Jaqueta,Moda,2,90.96
483,158,Mouse,Eletronicos,1,85.8
484,159,Teclado,Eletronicos,3,38.98
485,159,Mouse,Eletronicos,1,27.82
486,159,Livro,Books,2,11.92
487,159,Sofa,Casa,4,417.25
488,160,Teclado,Eletronicos,1,105.99
489,160,Caderno,Papelaria,1,15.46
490,160,Camiseta,Moda,2,52.7
491,160,Calca,Moda,2,104.24
492,161,Camiseta,Moda,1,23.58
493,161,Notebook,Eletronicos,2,1084.4
494,162,Caderno,Papelaria,2,16.1
495,163,Notebook,Eletronicos,2,2370.84
496,163,Mesa,Casa,4,429.35
497,164,Camiseta,Moda,2,54.58
498,164,Livro,Books,1,39.72
499,164,Camiseta,Moda,4,53.32
500,164,Calca,Moda,2,96.9
501,164,Mouse,Eletronicos,4,45.78
502,165,Monitor,Eletronicos,1,477.16
503,165,Sofa,Casa,2,521.37
504,165,Livro,Books,3,25.16
505,165,Teclado,Eletronicos,2,72.16
506,166,Mesa,Casa,1,244.02
507,166,Livro,Books,1,14.3
508,166,Jaqueta,Moda,4,94.44
509,167,Mouse,Eletronicos,3,23.76
510,167,Jaqueta,Moda,1,60.72
511,167,Livro,Books,3,12.16
512,167,Caderno,Papelaria,1,4.53
513,167,Mesa,Casa,4,133.79
514,168,Notebook,Eletronicos,2,1839.31
515,168,Caderno,Papelaria,3,10.16
516,168,Notebook,Eletronicos,4,1722.43
517,168,Notebook,Eletronicos,4,1871.48
518,169,Notebook,Eletronicos,1,1835.44
519,169,Camiseta,Moda,2,27.38
520,169,Mouse,Eletronicos,3,43.1
521,169,Teclado,Eletronicos,1,52.26
522,170,Monitor,Eletronicos,2,264.64
523,170,Mesa,Casa,4,132.76
524,170,Mesa,Casa,2,186.9
525,171,Calca,Moda,1,50.51
526,171,Monitor,Eletronicos,4,327.79
527,171,Notebook,Eletronicos,1,1064.66
528,171,Sofa,Casa,2,495.68
529,172,Teclado,Eletronicos,2,110.5
530,172,Calca,Moda,4,89.46
531,173,Calca,Moda,3,63.58
532,173,Sofa,Casa,4,924.52
533,173,Jaqueta,Moda,3,172.28
534,173,Mouse,Eletronicos,4,48.56
535,173,Calca,Moda,1,89.55
536,174,Sofa,Casa,3,667.12
537,174,Calca,Moda,1,59.6
538,174,Monitor,Eletronicos,2,638.93
539,174,Luminaria,Casa,4,90.93
540,174,Sofa,Casa,4,716.65
541,175,Luminaria,Casa,4,57.63
542,176,Mesa,Casa,3,460.15
543,176,Jaqueta,Moda,1,199.5
544,176,Notebook,Eletronicos,3,2576.44
545,176,Luminaria,Casa,2,123.07
546,176,Caderno,Papelaria,4,16.66
547,177,Mouse,Eletronicos,1,43.09
548,177,Jaqueta,Moda,2,127.62
549,177,Jaqueta,Moda,3,146.69
550,177,Mouse,Eletronicos,1,37.83
551,177,Caderno,Papelaria,1,8.77
552,178,Sofa,Casa,2,326.44
553,178,Luminaria,Casa,1,34.62
554,178,Mesa,Casa,4,141.16
555,178,Camiseta,Moda,1,18.33
556,178,Sofa,Casa,1,390.21
557,179,Livro,Books,2,19.71
558,179,Livro,Books,4,20.9
559,179,Luminaria,Casa,3,50.2
560,179,Mouse,Eletronicos,2,25.4
561,179,Monitor,Eletronicos,1,322.33
562,180,Teclado,Eletronicos,3,142.5
563,180,Livro,Books,2,33.04
564,180,Camiseta,Moda,3,54.95
565,180,Jaqueta,Moda,3,147.94
566,180,Mesa,Casa,2,462.08
567,181,Camiseta,Moda,3,52.67
568,182,Caderno,Papelaria,1,11.47
569,183,Mouse,Eletronicos,3,48.67
570,183,Luminaria,Casa,3,124.37
571,183,Teclado,Eletronicos,4,105.48
572,184,Luminaria,Casa,4,71.45
573,184,Camiseta,Moda,3,33.45
574,185,Calca,Moda,3,34.59
575,185,Notebook,Eletronicos,1,934.91
576,185,Mesa,Casa,2,172.86
577,185,Calca,Moda,2,26.32
578,185,Notebook,Eletronicos,4,1110.91
579,186,Livro,Books,4,21.77
580,186,Calca,Moda,3,49.71
581,186,Teclado,Eletronicos,4,53.41
582,186,Luminaria,Casa,1,51.16
583,187,Livro,Books,1,9.98
584,187,Caderno,Papelaria,2,4.33
585,187,Luminaria,Casa,3,36.0
586,188,Sofa,Casa,2,635.35
587,188,Livro,Books,4,22.93
588,188,Sofa,Casa,1,531.89
589,189,Caderno,Papelaria,4,11.63
590,189,Caderno,Papelaria,4,14.49
591,189,Monitor,Eletronicos,4,471.76
592,190,Sofa,Casa,3,674.28
593,190,Camiseta,Moda,4,26.29
594,190,Notebook,Eletronicos,4,1850.65
595,190,Sofa,Casa,1,620.58
596,191,Notebook,Eletronicos,2,1992.51
597,191,Monitor,Eletronicos,2,641.71
598,192,Mouse,Eletronicos,2,49.09
599,193,Livro,Books,1,27.09
600,193,Monitor,Eletronicos,1,632.54
601,193,Camiseta,Moda,4,45.92
602,193,Monitor,Eletronicos,1,537.62
603,194,Camiseta,Moda,2,51.93
604,195,Calca,Moda,3,44.16
605,196,Luminaria,Casa,3,39.09
606,196,Luminaria,Casa,3,47.94
607,196,Camiseta,Moda,3,22.05
608,197,Livro,Books,2,39.63
609,197,Mesa,Casa,3,502.9
610,197,Mouse,Eletronicos,2,58.96
611,197,Livro,Books,1,32.78
612,198,Notebook,Eletronicos,4,1085.79
613,198,Caderno,Papelaria,4,4.87
614,198,Caderno,Papelaria,2,5.92
615,198,Teclado,Eletronicos,4,34.01
616,198,Caderno,Papelaria,3,6.38
617,199,Livro,Books,1,21.83
618,199,Monitor,Eletronicos,3,362.07
619,199,Caderno,Papelaria,2,7.18
620,199,Notebook,Eletronicos,3,1236.16
621,200,Camiseta,Moda,4,59.84
622,200,Caderno,Papelaria,2,14.09
623,200,Camiseta,Moda,1,53.93
624,200,Notebook,Eletronicos,2,2112.81
625,200,Jaqueta,Moda,1,162.71
626,201,Calca,Moda,1,64.54
627,202,Sofa,Casa,2,493.48
628,202,Camiseta,Moda,3,23.93
629,202,Calca,Moda,4,48.26
630,202,Livro,Books,3,19.05
631,202,Camiseta,Moda,3,23.02
632,203,Sofa,Casa,2,536.37
633,203,Camiseta,Moda,2,32.11
634,203,Luminaria,Casa,2,59.92
635,203,Sofa,Casa,1,558.59
636,203,Calca,Moda,1,56.06
637,204,Teclado,Eletronicos,4,84.23
638,204,Notebook,Eletronicos,1,2285.49
639,205,Sofa,Casa,4,526.79
640,205,Caderno,Papelaria,2,10.3
641,205,Sofa,Casa,4,484.03
642,205,Caderno,Papelaria,1,10.54
643,205,Jaqueta,Moda,3,129.27
644,206,Camiseta,Moda,1,29.23
645,206,Camiseta,Moda,3,29.54
646,206,Caderno,Papelaria,4,8.42
647,206,Mesa,Casa,1,284.63
648,207,Mesa,Casa,3,295.53
649,207,Camiseta,Moda,2,32.84
650,208,Luminaria,Casa,3,41.14
651,208,Caderno,Papelaria,3,6.47
652,209,Caderno,Papelaria,1,12.08
653,209,Caderno,Papelaria,2,15.41
654,209,Livro,Books,2,33.25
655,209,Camiseta,Moda,1,53.38
656,209,Calca,Moda,3,81.02
657,210,Notebook,Eletronicos,3,2347.02
658,210,Calca,Moda,1,72.89
659,211,Caderno,Papelaria,4,12.68
660,211,Camiseta,Moda,2,55.26
661,211,Calca,Moda,1,95.15
662,211,Livro,Books,2,37.6
663,212,Caderno,Papelaria,2,15.59
664,212,Caderno,Papelaria,4,12.99
665,212,Luminaria,Casa,1,131.73
666,212,Luminaria,Casa,4,102.55
667,212,Teclado,Eletronicos,1,112.72
668,213,Notebook,Eletronicos,2,1088.43
669,213,Jaqueta,Moda,4,80.82
670,213,Teclado,Eletronicos,2,42.49
671,214,Sofa,Casa,3,414.7
672,214,Calca,Moda,3,40.76
673,214,Teclado,Eletronicos,4,58.66
674,214,Notebook,Eletronicos,1,1403.84
675,214,Livro,Books,4,18.98
676,215,Teclado,Eletronicos,2,111.38
677,215,Caderno,Papelaria,4,11.91
678,215,Mouse,Eletronicos,3,53.56
679,216,Sofa,Casa,1,777.28
680,216,Caderno,Papelaria,1,19.63
681,216,Jaqueta,Moda,1,175.71
682,217,Notebook,Eletronicos,1,2390.23
683,218,Calca,Moda,2,29.05
684,219,Notebook,Eletronicos,2,1694.31
